Source,Target
"Latest corporate unbundler reveals laid-back <b>direction</b>: Roland Franklin, who is leading a 697m pound break-up bid for DRG, talks to Frank Kane",approach
"Latest corporate unbundler reveals laid-back <b>method</b>: Roland Franklin, who is leading a 697m pound break-up bid for DRG, talks to Frank Kane",approach
"Latest corporate unbundler reveals laid-back <b>plan</b>: Roland Franklin, who is leading a 697m pound break-up bid for DRG, talks to Frank Kane",approach
"Latest corporate unbundler reveals laid-back <b>view</b>: Roland Franklin, who is leading a 697m pound break-up bid for DRG, talks to Frank Kane",approach
"Latest corporate unbundler reveals laid-back <b>attitude</b>: Roland Franklin, who is leading a 697m pound break-up bid for DRG, talks to Frank Kane",approach
"Latest corporate unbundler reveals laid-back approach: Roland Franklin, who is <b>winning</b> a 697m pound break-up bid for DRG, talks to Frank Kane",leading
"Latest corporate unbundler reveals laid-back approach: Roland Franklin, who is <b>fronting</b> a 697m pound break-up bid for DRG, talks to Frank Kane",leading
"Latest corporate unbundler reveals laid-back approach: Roland Franklin, who is <b>directing</b> a 697m pound break-up bid for DRG, talks to Frank Kane",leading
"Latest corporate unbundler reveals laid-back approach: Roland Franklin, who is <b>dominating</b> a 697m pound break-up bid for DRG, talks to Frank Kane",leading
"IT SEEMS that Roland Franklin, the latest unbundler to appear in the UK, has made a <b>deadly</b> error in the preparation of his Â£697m break-up bid for stationery and packaging group DRG.",fatal
"IT SEEMS that Roland Franklin, the latest unbundler to appear in the UK, has made a <b>vital</b> error in the preparation of his Â£697m break-up bid for stationery and packaging group DRG.",fatal
"IT SEEMS that Roland Franklin, the latest unbundler to appear in the UK, has made a <b>catastrophic</b> error in the preparation of his Â£697m break-up bid for stationery and packaging group DRG.",fatal
"IT SEEMS that Roland Franklin, the latest unbundler to appear in the UK, has made a <b>terminal</b> error in the preparation of his Â£697m break-up bid for stationery and packaging group DRG.",fatal
"The 63-year-old head of Pembridge Investments, through which the bid is being mounted says, â€˜rule number one in this business is: the more luxurious the luncheon rooms at <b>base</b>, the more inefficient the businessâ€™.",headquarters
"The 63-year-old head of Pembridge Investments, through which the bid is being mounted says, â€˜rule number one in this business is: the more luxurious the luncheon rooms at <b>head-office</b>, the more inefficient the businessâ€™.",headquarters
"The 63-year-old head of Pembridge Investments, through which the bid is being mounted says, â€˜rule number one in this business is: the more luxurious the luncheon rooms at <b>main-office</b>, the more inefficient the businessâ€™.",headquarters
"The 63-year-old head of Pembridge Investments, through which the bid is being mounted says, â€˜rule number one in this business is: the more luxurious the luncheon rooms at <b>depot</b>, the more inefficient the businessâ€™.",headquarters
"The 63-year-old head of Pembridge Investments, through which the bid is being mounted says, â€˜rule number one in this business is: the more luxurious the luncheon rooms at <b>HQ</b>, the more inefficient the businessâ€™.",headquarters
"If he had taken his own rule seriously, he would have found out that DRG has a very modest self-service canteen at its Bristol <b>main</b> office.",head
